Year,"GDP, billions £","Real GDP, billions £","Population, millions","Public Debt, mill £","Public Debt, GDP %",,"Interest Rate, %",,"Payments Balance, GDP %","Gov Spending, GDP %",,"GDP (per capita), K £","Real GDP (per capita), K £","Inflation, (CPI) %","Unemployment, %","Tax Rev, bill £","Tax Rev, GDP %","Income Tax Rate, avg %"
1692,0.05885,9.7831048,9.1,0.003301485,5.61,a,0.34,a,,7.23,a,0.006467033,1.075066462,,,,,
1693,0.05906,9.7939919,9.1,0.005900094,9.99,a,0.38,a,,9.44,a,0.00649011,1.076262846,,,,,
1694,0.05927,9.8048893,9.1,0.006098883,10.29,a,0.75,a,,9.45,a,0.006513187,1.077460363,,,,,
1695,0.05949,9.8158073,9.1,0.008399988,14.12,a,0.98,a,,10.46,a,0.006537363,1.078660143,,,,,
1696,0.0597,9.8267253,9.1,0.01060272,17.76,a,1.09,a,,13.4,a,0.00656044,1.079859923,,,,,
1697,0.05992,9.8376639,9.1,0.016699704,27.87,a,1.74,a,,13.21,a,0.006584615,1.081061967,,,,,
1698,0.06014,9.8486128,9.1,0.017302278,28.77,a,2.44,a,,6.86,a,0.006608791,1.082265143,,,,,
1699,0.06036,9.859572,9.1,0.015397836,25.51,a,2.46,a,,7.77,a,0.006632967,1.083469451,,,,,
1700,0.06058,9.8705415,9.1,0.014199952,23.44,a,2.07,a,,5.28,a,0.006657143,1.08467489,,,0,7.17,
1701,0.0608,9.8815316,9.129,0.01409952,23.19,a,1.97,a,,5.66,a,0.006660094,1.082433081,,,0,6.2,
1702,0.06102,9.8925217,9.158,0.014101722,23.11,a,1.92,a,,8.21,a,0.006663027,1.080205471,,,0,7.98,
1703,0.06124,9.9035324,9.188,0.013601404,22.21,a,1.7,a,,8.68,a,0.006665215,1.077876839,,,0.01,9.08,
1704,0.06146,9.9145534,9.217,0.01339828,21.8,a,1.59,a,,8.99,a,0.006668113,1.075681176,,,0.01,8.78,
1705,0.06168,9.9255847,9.247,0.013002144,21.08,a,1.68,a,,9.52,a,0.006670271,1.073384308,,,0.01,8.58,
1706,0.06191,9.9366366,9.276,0.0130011,21,a,1.74,a,,10.81,a,0.006674213,1.071219987,,,0.01,8.53,
1707,0.06213,9.9476885,9.306,0.014501142,23.34,a,2.97,a,,14.08,a,0.006676338,1.068954277,,,0.01,8.81,
