Year,GDP-UK billions,Population-UK million,Public Net Debt-total percent GDP,,Interest-total percent GDP,,Balance-total percent GDP,Total Spending-total percent GDP,,Pensions-total percent GDP,
1811,0.334,18.5,182.51,a,7.31,a,0,24.43,a,0,a
1812,0.33278,18.736,188.11,a,7.39,a,0,26.23,a,0,a
1813,0.33156,18.975,196.74,a,7.96,a,0,28.59,a,0,a
1814,0.33035,19.217,219.62,a,8.26,a,0,33.66,a,0,a
1815,0.32915,19.462,226.31,a,9.11,a,0,34.3,a,0,a
1816,0.32795,19.71,237.32,a,9.82,a,0,30.34,a,0,a
1817,0.32675,19.962,231.09,a,10.07,a,0,21.82,a,0,a
1818,0.32555,20.217,259.04,a,9.68,a,0,18.03,a,0,a
1819,0.32437,20.474,260.29,a,9.65,a,0,17.76,a,0,a
1820,0.32318,20.736,259.95,a,9.62,a,0,17.79,a,0,a
1821,0.322,21,260.34,a,9.94,a,0,18.14,a,0,a
1822,0.33684,21.291,246.73,a,9.47,a,0,16.74,a,0,a
1823,0.35236,21.586,237.29,a,8.91,a,0,16.03,a,0,a
1824,0.3686,21.886,224.8,a,8.14,a,0,14.73,a,0,a
1825,0.38558,22.189,212.72,a,7.83,a,0,14.39,a,0,a
1826,0.40335,22.497,201.07,a,7.24,a,0,13.41,a,0,a
1827,0.42194,22.809,191.97,a,6.92,a,0,13.3,a,0,a
1828,0.44138,23.125,182.7,a,6.66,a,0,12.66,a,0,a
1829,0.46172,23.445,173.55,a,6.35,a,0,11.59,a,0,a
1830,0.483,23.77,165.26,a,6.02,a,0,11.12,a,0,a
1831,0.48,24.1,163.79,a,6.08,a,0,10.81,a,0,a
1832,0.459,24.366,170.85,a,6.17,a,0,11.22,a,0,a
1833,0.453,24.636,172.85,a,6.25,a,0,11.17,a,0,a
1834,0.481,24.908,162.43,a,5.93,a,0,10.15,a,0,a
1835,0.508,25.183,152.54,a,5.61,a,0,9.63,a,0,a
1836,0.542,25.462,145.83,a,5.28,a,0,12.03,a,0,a
1837,0.521,25.743,151.8,a,5.64,a,0,10.36,a,0,a
1838,0.553,26.028,142.66,a,5.35,a,0,9.24,a,0,a
1839,0.582,26.315,135.55,a,5.05,a,0,8.88,a,0,a
1840,0.546,26.606,144.45,a,5.42,a,0,9.78,a,0,a
1841,0.52,26.9,151.96,a,5.67,a,0,10.23,a,0,a
1842,0.5,26.959,158.78,a,5.94,a,0,10.86,a,0,a
1843,0.498,27.019,159.34,a,5.94,a,0,11.06,a,0,a
1844,0.543,27.079,146.32,a,5.41,a,0,10.2,a,0,a
1845,0.575,27.138,137.37,a,5.32,a,0,9.53,a,0,a
1846,0.614,27.198,128.21,a,4.66,a,0,8.75,a,0,a
1847,0.638,27.258,123.07,a,4.44,a,0,8.68,a,0,a
1848,0.614,27.319,129.1,a,4.63,a,0,9.63,a,0,a
1849,0.625,27.379,127.09,a,4.59,a,0,9.44,a,0,a
1850,0.572,27.439,138.72,a,4.98,a,0,9.7,a,0,a
1851,0.601,27.5,131.4,a,4.71,a,0,9.1,a,0,a
1852,0.607,27.656,129.44,a,4.65,a,0,8.9,a,0,a
1853,0.678,27.813,115.38,a,4.14,a,0,8.16,a,0,a
1854,0.718,27.971,107.86,a,3.91,a,0,7.77,a,0,a
1855,0.739,28.129,105.51,a,3.79,a,0,9.35,a,0,a
1856,0.769,28.289,104.88,a,3.67,a,0,12.11,a,0,a
1857,0.779,28.449,104.24,a,3.7,a,0,9.77,a,0,a
1858,0.752,28.611,107.57,a,3.82,a,0,9.07,a,0,a
1859,0.794,28.773,101.86,a,3.61,a,0,8.16,a,0,a
1860,0.812,28.936,99.26,a,3.53,a,0,8.57,a,0,a
1861,0.847,29.1,95.12,a,3.11,a,0,8.61,a,0,a
1862,0.86,29.341,93.57,a,3.06,a,0,8.41,a,0,a
1863,0.896,29.584,89.72,a,2.92,a,0,7.85,a,0,a
1864,0.945,29.829,84.11,a,2.77,a,0,7.17,a,0,a
1865,0.975,30.075,81.12,a,2.71,a,0,6.88,a,0,a
1866,1.02,30.324,76.68,a,2.57,a,0,6.52,a,0,a
1867,1.002,30.575,77.65,a,2.6,a,0,6.71,a,0,a
